Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
A1IGU4	A1IGU4	ARH37_MOUSE	Arhgef37	Rho guanine nucleotide exchange factor 37	7636.81	6707.85	9965.71	8028.95
A1L314	A1L314	MPEG1_MOUSE	Mpeg1	Macrophage-expressed gene 1 protein	13667.9	10827.4	12466.9	14126.6
A2A3V1	A2A3V1	AK17B_MOUSE	Akap17b	A-kinase anchor protein 17B	14480	18652	13947.3	10157.8
A2A4P0	A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	23143.9	27406.3	27596.7	21730
A2A5K6	A2A5K6	ZN335_MOUSE	Znf335	Zinc finger protein 335	4576.68	17132.4	15777.8	11393.7
A2A5R2	A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	293593	199972	193238	190346
A2A6A1	A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	259333	370088	233609	250139
A2A791;A2A791-2	A2A791;A2A791-2	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	100620	103017	70963.1	83020.9
A2A7Q9	A2A7Q9	RN19B_MOUSE	Rnf19b	E3 ubiquitin-protein ligase RNF19B	4442.44		11820.7	
A2A7S8-2	A2A7S8;A2A7S8-2;A2A7S8-3;A2A7S8-4	K1522_MOUSE	Kiaa1522	Isoform 2 of Uncharacterized protein KIAA1522	166010	200216	159444	109511
A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4;A2AAE1-6	A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4;A2AAE1-6	BLTP1_MOUSE	Bltp1	Bridge-like lipid transfer protein family member 1	125510	130571	108456	112825
A2AAY5	A2AAY5	SPD2B_MOUSE	Sh3pxd2b	SH3 and PX domain-containing protein 2B	29695.9	36946.7	21823.3	86548
A2AB59	A2AB59;A2AB59-2	RHG27_MOUSE	Arhgap27	Rho GTPase-activating protein 27	28208.5	36438.9	33059.3	35276.6
A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2		2339.15	2529.91	2767.31
A2AF47	A2AF47	DOC11_MOUSE	Dock11	Dedicator of cytokinesis protein 11	243955	308424	195919	203931
A2AG58;A2AG58-2	A2AG58;A2AG58-2	BCLA3_MOUSE	Bclaf3	BCLAF1 and THRAP3 family member 3	43283.3	47096.7	35674.6	45390.6
A2AGH6;A2AGH6-2	A2AGH6;A2AGH6-2	MED12_MOUSE	Med12	Mediator of RNA polymerase II transcription subunit 12	47788.6	47185.9	58308.5	23234.9
A2AHC3	A2AHC3	CAMP1_MOUSE	Camsap1	Calmodulin-regulated spectrin-associated protein 1	116430	134967	121805	105141
A2AIV2	A2AIV2	VIR_MOUSE	Virma	Protein virilizer homolog	652568	790968	622881	548097
A2AIV8	A2AIV8	CARD9_MOUSE	Card9	Caspase recruitment domain-containing protein 9	62115.4	47808.4	54221.5	72159.6
A2AIW0;A2AIW0-2;A2AIW0-3;A2AIW0-4;A2AIW0-5	A2AIW0;A2AIW0-2;A2AIW0-3;A2AIW0-4;A2AIW0-5	ENTR1_MOUSE	Entr1	Endosome-associated-trafficking regulator 1	32938.8	28891.5	21178.6	25926.6
A2AJ15	A2AJ15	MA1B1_MOUSE	Man1b1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	117023	124837	97465.5	78846.3
A2AJ88;A2AJ88-2	A2AJ88;A2AJ88-2	PLPL7_MOUSE	Pnpla7	Patatin-like phospholipase domain-containing protein 7	78724.9	141552	73497.5	317704
A2AJI0	A2AJI0;A2AJI0-2	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	1.57125e+06	1.28576e+06	1.02244e+06	763665
A2AJK6	A2AJK6;A2AJK6-3	CHD7_MOUSE	Chd7	Chromodomain-helicase-DNA-binding protein 7	92596.3	149061	122497	81093.2
A2AJT4	A2AJT4	PNISR_MOUSE	Pnisr	Arginine/serine-rich protein PNISR	113341	117709	82627.1	120856
A2AKX3;A2AKX3-2	A2AKX3;A2AKX3-2	SETX_MOUSE	Setx	Probable helicase senataxin	16159.6	15548.8	14737.7	18945.3
A2ALU4	A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	23095.4	15990.4	11133.8	12840.1
A2AN08;A2AN08-3;A2AN08-5	A2AN08;A2AN08-3;A2AN08-4;A2AN08-5	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	175124	221689	136992	162876
A2APV2	A2APV2;A2APV2-2;A2APV2-3	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	153663	135491	123608	216297
A2AQW0	A2AQW0	M3K15_MOUSE	Map3k15	Mitogen-activated protein kinase kinase kinase 15	12128.8	14524.5	5794.66	29529.9
A2AR02	A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	2.62509e+06	2.47921e+06	2.31549e+06	2.52486e+06
A2AUM9	A2AUM9	CE152_MOUSE	Cep152	Centrosomal protein of 152 kDa	19203.9	26832.9	22874.7	19200.8
A2AWA9	A2AWA9;A2AWA9-2	RBGP1_MOUSE	Rabgap1	Rab GTPase-activating protein 1	29905.5	23970.4	21312.9	28364.5
A2BH40;A2BH40-3	A2BH40;A2BH40-2;A2BH40-3;A2BH40-4	ARI1A_MOUSE	Arid1a	AT-rich interactive domain-containing protein 1A	92190	116307	95117.7	154836
A2CG63;A2CG63-2	A2CG63;A2CG63-2	ARI4B_MOUSE	Arid4b	AT-rich interactive domain-containing protein 4B	294443	329008	299203	275940
A2RSJ4	A2RSJ4	BLT3B_MOUSE	Bltp3b	Bridge-like lipid transfer protein family member 3B	23558.4	41633.5	33799	125380
A2TJV2	A2TJV2	PALM3_MOUSE	Palm3	Paralemmin-3	14799.4	17717.4	14557.5	14000.5
A3KGF7;A3KGF7-2;A3KGF7-3;A3KGF7-4	A3KGF7;A3KGF7-2;A3KGF7-3;A3KGF7-4	PLCB2_MOUSE	Plcb2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	16935.5	65351.1	48048.2	14788.5
A3KGS3;A3KGS3-2	A3KGS3;A3KGS3-2	RGPA2_MOUSE	Ralgapa2	Ral GTPase-activating protein subunit alpha-2	97540.5	79610.3	71210.1	87828.3
A6H5X4;A6H5X4-2	A6H5X4;A6H5X4-2	PHF11_MOUSE	Phf11	PHD finger protein 11	167143	132428	132577	149556
A6H5Y3	A6H5Y3	METH_MOUSE	Mtr	Methionine synthase	76819.1	71654	60396.8	59737.3
A6H619	A6H619;A6H619-2	PHRF1_MOUSE	Phrf1	PHD and RING finger domain-containing protein 1	647604	795115	628449	610025
A6H8H2-2	A6H8H2;A6H8H2-2	DEN4C_MOUSE	Dennd4c	Isoform 2 of DENN domain-containing protein 4C	329767	428567	287734	1.07796e+06
A6X8Z5	A6X8Z5	RHG31_MOUSE	Arhgap31	Rho GTPase-activating protein 31	45343.9	111873	71782.5	127433
A8Y5H7;A8Y5H7-2;A8Y5H7-3	A8Y5H7;A8Y5H7-2;A8Y5H7-3	S14L1_MOUSE	Sec14l1	SEC14-like protein 1	16514.8	13111.4	12990.4	28971.9
B1AT66;B1AT66-2	B1AT66;B1AT66-2	MOT7_MOUSE	Slc16a6	Monocarboxylate transporter 7	19101.2	15077.2	18443.2	22035.2
B1AVH7	B1AVH7	TBD2A_MOUSE	Tbc1d2	TBC1 domain family member 2A	29849.3	16404.1	20564.1	94957.3
B1AXH1	B1AXH1	NHSL2_MOUSE	Nhsl2	NHS-like protein 2	8362.71	4431.02	3913.56	8586.85
B1AY13	B1AY13	UBP24_MOUSE	Usp24	Ubiquitin carboxyl-terminal hydrolase 24	150171	123226	134463	129103
B1AZA5	B1AZA5	TM245_MOUSE	Tmem245	Transmembrane protein 245	79495.5	123969	78772.4	54101.3
B1AZI6	B1AZI6	THOC2_MOUSE	Thoc2	THO complex subunit 2	110820	98654.1	148382	113678
B1AZP2;B1AZP2-2;B1AZP2-3	B1AZP2;B1AZP2-2;B1AZP2-3	DLGP4_MOUSE	Dlgap4	Disks large-associated protein 4	18205.8	22617.7	16692.2	17955.9
B2RQC6;B2RQC6-2	B2RQC6;B2RQC6-2	PYR1_MOUSE	Cad	CAD protein	211522	185262	153051	89331.1
B2RRD7	B2RRD7	BRPF1_MOUSE	Brpf1	Peregrin	136148	139986	126539	143163
B2RRE7	B2RRE7	OTUD4_MOUSE	Otud4	OTU domain-containing protein 4	23509.2	34075.7	27860.2	29179.6
B2RUJ5;B2RUJ5-3	B2RUJ5;B2RUJ5-2;B2RUJ5-3	APBA1_MOUSE	Apba1	Amyloid-beta A4 precursor protein-binding family A member 1	65532.1	93710	62080.8	97046.8
B2RUP2;B2RUP2-2	B2RUP2;B2RUP2-2	UN13D_MOUSE	Unc13d	Protein unc-13 homolog D	195943	120442	89179.6	179582
B2RUR8	B2RUR8	OTU7B_MOUSE	Otud7b	OTU domain-containing protein 7B	19509.3	13669.4	19401.8	18606.6
B2RWS6	B2RWS6	EP300_MOUSE	Ep300	Histone acetyltransferase p300	100239	195146	123723	92277.6
B2RX14	B2RX14	TUT4_MOUSE	Tut4	Terminal uridylyltransferase 4	35561.4	29330.5	31142.9	25918.8
B2RXB2	B2RXB2	HSBPL_MOUSE	Hsbp1l1	Heat shock factor-binding protein 1-like protein 1	60285.9	151585	90149.2	61805.8
B2RXS4	B2RXS4	PLXB2_MOUSE	Plxnb2	Plexin-B2	35116.2	36310.5	34903.3	38509.3
B2RY04	B2RY04	DOCK5_MOUSE	Dock5	Dedicator of cytokinesis protein 5	41929.5	50735.6	28958.7	3746.17
B2RY56	B2RY56	RBM25_MOUSE	Rbm25	RNA-binding protein 25	209668	238898	162253	196405
B9EJ80	B9EJ80	PDZD8_MOUSE	Pdzd8	PDZ domain-containing protein 8	17171.4	17665.5	12391.6	15857
B9EJ86	B9EJ86	OSBL8_MOUSE	Osbpl8	Oxysterol-binding protein-related protein 8	2.64042e+06	3.07089e+06	2.14708e+06	2.47577e+06
B9EKI3	B9EKI3	TMF1_MOUSE	Tmf1	TATA element modulatory factor	1.34788e+06	2.09045e+06	1.4405e+06	1.01794e+06
C0HKD8;C0HKD9	C0HKD8;C0HKD9	MFA1A_MOUSE;MFA1B_MOUSE	Mfap1a;Mfap1b	Microfibrillar-associated protein 1A	2.63145e+06	2.96601e+06	2.48148e+06	2.3493e+06
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7	C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7	H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE	H2ac11;H2ac12;H2ac13;H2ac15;H2ac25;H2ac4;H2ac6;H2ac7;H2ac8;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap	Histone H2A type 1-B	35021.5	22345.7	16159.1	48679.7
D0QMC3;O35368;O35368-2;O35368-3	D0QMC3;O35368;O35368-3;O35368-2	IFI3_MOUSE;MNDAL_MOUSE	Ifi203;Mndal	Myeloid cell nuclear differentiation antigen-like protein	20377.1	23057	12259.5	27266.4
D2EAC2;D2EAC2-2	D2EAC2;D2EAC2-2	ZBED6_MOUSE	Zbed6	Zinc finger BED domain-containing protein 6	111934	112001	71827.2	110911
D3YXK2	D3YXK2;Q80YR5	SAFB1_MOUSE	Safb	Scaffold attachment factor B1	1.5046e+06	1.11212e+06	993242	1.65929e+06
D3YYM4	D3YYM4	WDR72_MOUSE	Wdr72	WD repeat-containing protein 72	10527.4	6069.35	3216.28	6836
D3YZP9	D3YZP9	CCDC6_MOUSE	Ccdc6	Coiled-coil domain-containing protein 6	553578	752165	554493	379537
D3Z2R5	D3Z2R5	SELN_MOUSE	Selenon	Selenoprotein N	22396.8	16315.3	19685.4	24569.8
D3Z6Q9	D3Z6Q9	BIN2_MOUSE	Bin2	Bridging integrator 2	512471	397743	247774	364575
D3Z7P3	D3Z7P3;D3Z7P3-2	GLSK_MOUSE	Gls	Glutaminase kidney isoform, mitochondrial	84120.6	62934.2	129473	72083.9
E1U8D0	E1U8D0	SOGA1_MOUSE	Soga1	Protein SOGA1	112907	130454	113235	198031
E2JF22	E2JF22	PIEZ1_MOUSE	Piezo1	Piezo-type mechanosensitive ion channel component 1	312847	481034	339270	405668
E9PV24;E9PV24-2	E9PV24;E9PV24-2	FIBA_MOUSE	Fga	Fibrinogen alpha chain	10236	9887.32	5218.51	12386.2
E9PV82	E9PV82	FA53A_MOUSE	Fam53a	Protein FAM53A	27527.4	10734.2	14760.1	13276.7
E9PVB5	E9PVB5	TTC17_MOUSE	Ttc17	Tetratricopeptide repeat protein 17	29469.6	23972.7	15953	28196.3
E9PVX6;E9PVX6-2	E9PVX6;E9PVX6-2	KI67_MOUSE	Mki67	Proliferation marker protein Ki-67	16199.6	33662.4	17774	10070.3
E9PYH6	E9PYH6	SET1A_MOUSE	Setd1a	Histone-lysine N-methyltransferase SETD1A	52719.4	87084.6	76288.3	74993.1
E9PYK3	E9PYK3	PARP4_MOUSE	Parp4	Protein mono-ADP-ribosyltransferase PARP4	27541.4	28751.5	12656.2	32045
E9PYL2	E9PYL2	PRR12_MOUSE	Prr12	Proline-rich protein 12	111169	168373	111069	62237.1
E9PZM4	E9PZM4	CHD2_MOUSE	Chd2	Chromodomain-helicase-DNA-binding protein 2	47349.2	50167.8	38560.5	28767.1
E9Q0S6	E9Q0S6	TENS1_MOUSE	Tns1	Tensin-1	340048	231038	212565	385190
